store,date,l_count,l_sales,l_avg,d_count,d_sales,d_avg,to_count,to_sales,bq_count,bq_sales,bg_count,bg_sales,at_count,at_sales,ryb_count,ryb_sales,event_count,event_sales,total_count,total_sales
BQ,2025-09-15,15,209890,13993,6,160600,26767,0,0,0,0,0,0,0,0,52,73700,0,0,73,444190
BQ,2025-09-16,4,19800,4950,7,130000,18571,0,0,0,0,0,0,2,8800,47,61630,0,0,60,220230
BQ,2025-09-17,13,65560,5043,5,91740,18348,0,0,0,0,0,0,0,0,54,71850,0,0,72,229150
BQ,2025-09-18,5,32010,6402,0,0,0,0,0,0,0,0,0,2,8800,58,77750,0,0,65,118560
BQ,2025-09-19,4,30360,7590,7,138600,19800,0,0,0,0,0,0,2,8800,104,123380,0,0,117,301140
BQ,2025-09-20,12,82050,6838,15,289890,19326,0,0,0,0,0,0,2,14080,93,120030,0,0,122,506050
BQ,2025-09-21,22,248300,11286,2,26930,13465,0,0,0,0,0,0,0,0,63,97650,0,0,87,372880
BQ,2025-09-22,6,58320,9720,5,71040,14208,0,0,0,0,0,0,2,8800,48,58750,0,0,61,196910
BQ,2025-09-23,12,108940,9078,0,0,0,0,0,0,0,0,0,2,8800,50,67900,0,0,64,185640
BQ,2025-09-24,6,41590,6932,8,211750,26469,0,0,0,0,0,0,0,0,47,64050,0,0,61,317390
BQ,2025-09-25,10,82140,8214,11,138980,12635,0,0,0,0,0,0,4,25960,65,80400,0,0,90,327480
BQ,2025-09-26,4,22000,5500,8,160000,20000,0,0,0,0,0,0,2,9350,129,155860,0,0,143,347210
BQ,2025-09-27,7,56280,8040,5,89960,17992,0,0,0,0,0,0,2,8800,78,108000,0,0,92,263040
BQ,2025-09-28,9,59410,6601,6,105710,17618,0,0,0,0,0,0,5,22000,72,99080,0,0,92,286200
BQ,2025-09-29,2,11440,5720,12,175320,14610,0,0,0,0,0,0,0,0,50,74030,0,0,64,260790
BQ,2025-09-30,15,139920,9328,0,0,0,0,0,0,0,0,0,0,0,45,64080,0,0,60,204000
BQ,2025-10-01,2,13980,6990,3,68090,22697,0,0,0,0,0,0,0,0,41,59150,0,0,46,141220
BQ,2025-10-02,17,83820,4931,4,55840,13960,0,0,0,0,0,0,0,0,62,91650,0,0,83,231310
BQ,2025-10-03,5,31470,6294,2,52470,26235,0,0,0,0,0,0,0,0,145,157600,0,0,152,241540
BQ,2025-10-04,12,113160,9430,13,237250,18250,0,0,0,0,0,0,1,4400,103,144460,0,0,129,499270
BQ,2025-10-05,0,0,0,7,111960,15994,0,0,0,0,0,0,2,8800,90,116330,0,0,99,237090
BQ,2025-10-06,6,49520,8253,2,44660,22330,0,0,0,0,0,0,0,0,69,98400,0,0,77,192580
BQ,2025-10-07,6,42130,7022,3,72600,24200,0,0,0,0,0,0,0,0,66,93830,0,0,75,208560
BQ,2025-10-08,9,76180,8464,16,330770,20673,0,0,0,0,0,0,1,6380,53,73080,0,0,79,486410
BQ,2025-10-09,8,87690,10961,2,30560,15280,0,0,0,0,0,0,0,0,62,83950,0,0,72,202200
BQ,2025-10-10,4,34550,8638,14,217850,15561,0,0,0,0,0,0,0,0,94,112130,0,0,112,364530
BQ,2025-10-11,8,72860,9108,7,103510,14787,0,0,0,0,0,0,2,8800,118,166130,0,0,135,351300
BQ,2025-10-12,34,180170,5299,21,323530,15406,0,0,0,0,0,0,0,0,119,157940,0,0,174,661640
BQ,2025-10-13,3,32410,10803,8,164560,20570,0,0,0,0,0,0,5,23210,104,140230,0,0,120,360410
BQ,2025-10-14,9,92080,10231,3,30000,10000,0,0,0,0,0,0,0,0,50,66150,0,0,62,188230
BQ,2025-10-15,2,12210,6105,13,204580,15737,0,0,0,0,0,0,0,0,80,109410,0,0,95,326200
BQ,2025-10-16,4,23100,5775,1,16600,16600,0,0,0,0,0,0,0,0,85,113450,0,0,90,153150
BQ,2025-10-17,9,57350,6372,2,33200,16600,0,0,0,0,0,0,0,0,101,109380,0,0,112,199930
BQ,2025-10-18,10,69460,6946,7,107370,15339,0,0,0,0,0,0,2,8800,95,113930,0,0,114,299560
BQ,2025-10-19,9,140500,15611,2,42000,21000,0,0,0,0,0,0,0,0,96,130850,0,0,107,313350
BQ,2025-10-20,7,45770,6539,8,102560,12820,0,0,0,0,0,0,4,17600,74,88580,0,0,93,254510
BQ,2025-10-21,2,14300,7150,6,169180,28197,0,0,0,0,0,0,4,18150,76,103100,0,0,88,304730
BQ,2025-10-22,2,15860,7930,4,81820,20455,0,0,0,0,0,0,0,0,75,96600,0,0,81,194280
BQ,2025-10-23,12,77440,6453,2,39600,19800,0,0,0,0,0,0,0,0,70,88900,0,0,84,205940
BQ,2025-10-24,7,61270,8753,7,94000,13429,0,0,0,0,0,0,0,0,123,145650,0,0,137,300920
BQ,2025-10-25,1,14740,14740,10,125370,12537,0,0,0,0,0,0,0,0,113,141130,0,0,124,281240
